Event_ID,Source,Date,Time,Flight_Number,Orig,Dest,Fleet,Ship_Number,EDR_EQUIP,EDR_Min,EDR_Peak,Location,Turb_Level,G_Load,,Injury_1,Recordable_1,OSHA_1,Injury_2,Recordable_2,OSHA_2,Injury_3,Recordable_3,OSHA_3,Injury_4,Recordable_4,OSHA_4,Injury_5,Recordable_5,OSHA_5,Injury_6,Recordable_6,OSHA_6,Altitude,Flight_Phase,P1,P2,P3,P3A,P4,P5,P6,Comments
TRB16059,FOQA,19-Aug-16,19.0516,0137,AMS,DTW,767,1810,,,,42.3879238732261/-83.0551101181641,1,1.222068787,0.894688129425049(0.111584623900281),FA,Y,N,,,,,,,,,,,,,,,,6798.574,Approach,1,,,,,,,This flight occurred on 08/19/2016 and not 08/17/2016 as origiinally indicated. FOQA flight record 6010408.
TRB16060,,19-Aug-16,,0557,DTW,MEX,757,0671,,,,19.3963018619599/-99.1399553085715,1,1.095061302,0.751738548278809(0.115731960000724),FA,N,Y,,,,,,,,,,,,,,,,0,0,,,,,,,,
TRB16061,,19-Aug-16,,0066,ATL,ZRH,767,1613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-FOQA aircraft.
TRB16062,FOQA,19-Aug-16,20.7335,0065,FCO,ATL,330,3324,,,,34.2333714077503/-83.9165126028577,3,1.328125,-0.0234375(0.423980364937812),FA,N,N,,,,,,,,,,,,,,,,13510.756,Descent,3,,,,,,,This flight occurred on 08/19/2016 and not 08/21/2016 as originally indicated. FOQA flight record 6001740.
TRB16063,Pilot ASAP,22-Aug-16,21AUG16 1124,0043,BRU,JFK,767,0184,,,,,,,,FA,Y,N,,,,,,,,,,,,,,,,,,2,,Y,,,,,Non-FOQA aircraft.
TRB16064,,23-Aug-16,,0601,MSP,FCA,320,3240,,,,,,,,FA,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,FOQA did not capture this flight.
TRB16065,,24-Aug-16,,0615,NRT,SIN,767,0191,,,,,,,,FA,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,Non-FOQA aircraft.
TRB16066,,23-Aug-16,,2599,BNA,ATL,M88,9585,,,,,,,,FA,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,
TRB16067,,25-Aug-16,,2328,DEN,JFK,319,3130,,,,,,,,FA,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,FOQA did not detect turbulence on this flight. FOQA flight record 6028796.
TRB16068,"STARS, SRS",26-Aug-16,27AUG16 1350,0127,AMS,BOS,764,1818,,,0.44,CPT | Central England,3,,,FA,Y,N,,,,,,,,,,,,,,,,34000,Cruise,3,,Y,,,,,"EDR report with peak of 0.44 or heavy 2. First notification of SVR pirep came in ACARS 2.5 hrs after event. Event was 08/27 not 8/26 as listed. | FA was not injured, only shaken up"
TRB16069,STARS,27-Aug-16,27AUG16 1335,1782,MSO,MSP,320,3221,,,,VCNTY MSP | VCNTY MSP (estimated),3,,0.734376847743988(0.133648966206857),FA,Y,Y,,,,,,,,,,,,,,,,8500,,,,,,,,,Rain showers on descent. Timing based on STARS. 
TRB16070,,26-Aug-16,26AUG16 1547,1506,LAX,DTW,757,5638,,,,FQF,,,,FA,,,,,,,,,,,,,,,,,,37000,,,,,,,,,Below TP Criteria
TRB16071,,27-Aug-16,24AUG16 1752,0131,MUC,ATL,764,1816,,,0.3,35.3N82.8W,,,0.594779491424561(0.180190094805544),FA,,,,,,,,,,,,,,,,,,38000,,,,,,,,,One EDR rpt for one minute. Below TP Criteria. Event is 08/24 not 08/27
TRB16072,"STARS, SRS",26-Aug-16,26AUG16 2105,0903,SJO,ATL,757,0694,,,,UVA,2,,0.756316184997559(0.13228668010238),FA,Y,N,,,,,,,,,,,,,,,,34000 | 38000,Cruise,2,,Y,,Y,,Y,One report of lt. chop.  | NO FA injuries
TRB16073,"STARS, SRS",27-Aug-16,27AUG16 1350,0127,AMS,BOS,764,1818,,,0.44,CPT | Central England,3,,,FA,Y,N,,,,,,,,,,,,,,,,34000,Cruise,3,,Y,,,,,"EDR report with peak of 0.44 or heavy 2. First notification of SVR pirep came in ACARS 2.5 hrs after event. | FA was not injured, only shaken up. Same exact flight as in row 75"
TRB16074,STARS,27-Aug-16,,0086,DTW,FRA,330,3358,,,,,2,,0.8046875(0.103914363802427),FA,Y,N,FA,Y,N,,,,,,,,,,,,,,,,,,,,,,No Pireps and no timing in STARS. Inconclusive event | No mention of turbulence at all in the ASAP report
TRB16075,,28-Aug-16,29AUG16 0048,0472,GRU,JFK,767,0199,,,0.04,23.4S46.4W | 23.4S46.4W (estimated),2,,,FA,Y,Y,,,,,,,,,,,,,,,,4700,,,,,,,,,Below TP Criteria
TRB16076,STARS,30-Aug-16,,0134,DTW,AMS,330,3359,,,,,2,,0.5390625(0.16225300182819),FA,N,N,FA,Y,N,FA,Y,N,,,,,,,,,,,,,,,,,,,Only 2 pireps. A Lgt and Lgt Chop reported. 
TRB16077,STARS,31-Aug-16,,2064,SDF,ATL,M88,0972,,,,,2,,,FA,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,No Pireps and no timing in STARS. Below TP Criteria and unknown location. 
TRB16078,,31-Aug-16,,0846,PHX,ATL,737,3835,,,,,3,,,FA,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,No info received concerning this event.
TRB16079,"STARS, SRS",1-Sep-16,02SEP16 0015,0883,ATL,LAX,767,1402,,,,40 S FLG,3,,,FA,Y,Y,FA,Y,Y,,,,,,,,,,,,,,,,,,,,,,Alert TP issued 4 hrs before encounter. 
TRB16080,,3-Sep-16,,0401,JFK,LHR,767,1606,,0.1,0.18 AND 0.22,52N/27W (assumed),,,,FA,,,,,,,,,,,,,,,,,,,,,,,,,,,Inconclusive timing of event. 
TRB16081,,3-Sep-16,03SEP16 0945,0836,HNL,ATL,330,3305,,,,VCNTY MEM,,,0.953125(0.164081479382572),FA,,,,,,,,,,,,,,,,,,38000,,,,,,,,,
